[2025-11-08T22:04:27.575863] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:32.583183] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:37.591037] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:42.597554] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:47.605333] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:52.611644] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:04:57.617945] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:02.626123] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:07.633508] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:12.640711] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:17.647786] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:22.659542] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:27.666550] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:32.675476] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:37.682598] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:42.689703] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:47.697232] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:52.703498] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:05:57.710399] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:02.717431] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:07.724891] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:12.731738] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:17.738994] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:22.746523] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:27.752977] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:32.759888] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:37.766347] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:42.773080] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:47.779930] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:52.788283] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:06:57.795821] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:02.803246] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:07.809728] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:12.818152] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:17.828180] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:22.836119] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:27.842881] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:32.850569] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:37.857308] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:42.864230] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:47.872301] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:52.881844] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:07:57.889926] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:02.897344] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:07.904505] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:12.912137] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:17.918711] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:22.926514] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:27.933616] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:32.942763] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:37.951353] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:42.958631] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:47.966070] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:52.976669] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:08:57.983660] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:02.994326] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:08.002435] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:13.011481] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:18.017739] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:23.024332] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:28.030930] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:33.039893] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:38.048034] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T22:09:43.054949] - X=0.5001, Y=0.4995, Z=0.9957
